Modality,Disease_Target,Classifier,Val_AUROC,Val_AUPRC,Val_Selection_Score,Fit_Time_Sec
Clinical,Type2_Diabetes,LogisticRegression,0.7723,0.7777,0.775,0.39
Clinical,Type2_Diabetes,RandomForest,0.7697,0.7735,0.7716,4.66
Clinical,Type2_Diabetes,ExtraTrees,0.7682,0.7736,0.7709,2.03
Clinical,Type2_Diabetes,XGBoost,0.7714,0.7751,0.7732,1.23
Clinical,Type2_Diabetes,LightGBM,0.7716,0.7752,0.7734,0.98
Clinical,Type2_Diabetes,CatBoost,0.7721,0.7771,0.7746,2.27
Clinical,Prediabetes,LogisticRegression,0.7474,0.7765,0.7619,0.13
Clinical,Prediabetes,RandomForest,0.7447,0.7724,0.7585,4.45
Clinical,Prediabetes,ExtraTrees,0.7439,0.773,0.7584,2.03
Clinical,Prediabetes,XGBoost,0.7463,0.7753,0.7608,0.94
Clinical,Prediabetes,LightGBM,0.7462,0.7755,0.7608,0.79
Clinical,Prediabetes,CatBoost,0.7464,0.7751,0.7607,1.69
Clinical,High_Adiposity_Risk,LogisticRegression,0.7558,0.6368,0.6963,0.23
Clinical,High_Adiposity_Risk,RandomForest,0.7553,0.6383,0.6968,4.38
Clinical,High_Adiposity_Risk,ExtraTrees,0.7552,0.6377,0.6965,1.92
Clinical,High_Adiposity_Risk,XGBoost,0.7557,0.6402,0.698,3.38
Clinical,High_Adiposity_Risk,LightGBM,0.7558,0.6374,0.6966,2.7
Clinical,High_Adiposity_Risk,CatBoost,0.7558,0.639,0.6974,2.13
Clinical,Metabolic_Syndrome,LogisticRegression,0.7513,0.7913,0.7713,0.24
Clinical,Metabolic_Syndrome,RandomForest,0.749,0.7887,0.7689,4.86
Clinical,Metabolic_Syndrome,ExtraTrees,0.7491,0.7896,0.7693,2.06
Clinical,Metabolic_Syndrome,XGBoost,0.7498,0.789,0.7694,4.82
Clinical,Metabolic_Syndrome,LightGBM,0.7496,0.7888,0.7692,1.58
Clinical,Metabolic_Syndrome,CatBoost,0.7509,0.7911,0.771,2.44
Clinical,NAFLD,LogisticRegression,0.7741,0.8269,0.8005,0.2
Clinical,NAFLD,RandomForest,0.7738,0.826,0.7999,4.78
Clinical,NAFLD,ExtraTrees,0.7723,0.8257,0.799,2.25
Clinical,NAFLD,XGBoost,0.7749,0.827,0.801,4.89
Clinical,NAFLD,LightGBM,0.7745,0.8271,0.8008,1.47
Clinical,NAFLD,CatBoost,0.7741,0.8267,0.8004,1.97
Wearable,Type2_Diabetes,LogisticRegression,0.6717,0.6874,0.6796,0.21
Wearable,Type2_Diabetes,RandomForest,0.6683,0.684,0.6762,3.94
Wearable,Type2_Diabetes,ExtraTrees,0.6653,0.6817,0.6735,1.57
Wearable,Type2_Diabetes,XGBoost,0.6722,0.6869,0.6795,3.66
Wearable,Type2_Diabetes,LightGBM,0.6713,0.6861,0.6787,1.59
Wearable,Type2_Diabetes,CatBoost,0.6699,0.6852,0.6776,2.13
Wearable,Prediabetes,LogisticRegression,0.6456,0.6912,0.6684,0.22
Wearable,Prediabetes,RandomForest,0.6468,0.6922,0.6695,3.85
Wearable,Prediabetes,ExtraTrees,0.6426,0.6892,0.6659,1.66
Wearable,Prediabetes,XGBoost,0.6494,0.693,0.6712,3.21
Wearable,Prediabetes,LightGBM,0.649,0.6926,0.6708,2.23
Wearable,Prediabetes,CatBoost,0.6467,0.6911,0.6689,2.8
Wearable,High_Adiposity_Risk,LogisticRegression,0.6721,0.5547,0.6134,0.16
Wearable,High_Adiposity_Risk,RandomForest,0.6686,0.5521,0.6103,3.75
Wearable,High_Adiposity_Risk,ExtraTrees,0.6662,0.5478,0.607,1.47
Wearable,High_Adiposity_Risk,XGBoost,0.6698,0.5543,0.612,1.07
Wearable,High_Adiposity_Risk,LightGBM,0.6696,0.5541,0.6119,8.09
Wearable,High_Adiposity_Risk,CatBoost,0.6699,0.5541,0.612,3.58
Wearable,Metabolic_Syndrome,LogisticRegression,0.6109,0.667,0.6389,0.34
Wearable,Metabolic_Syndrome,RandomForest,0.6102,0.6648,0.6375,5.95
Wearable,Metabolic_Syndrome,ExtraTrees,0.6068,0.6626,0.6347,1.61
Wearable,Metabolic_Syndrome,XGBoost,0.6112,0.6658,0.6385,2.07
Wearable,Metabolic_Syndrome,LightGBM,0.6106,0.665,0.6378,2.78
Wearable,Metabolic_Syndrome,CatBoost,0.6108,0.6669,0.6388,2.22
Wearable,NAFLD,LogisticRegression,0.5981,0.6772,0.6376,0.27
Wearable,NAFLD,RandomForest,0.5976,0.6756,0.6366,4.38
Wearable,NAFLD,ExtraTrees,0.5946,0.6736,0.6341,1.75
Wearable,NAFLD,XGBoost,0.599,0.677,0.638,1.45
Wearable,NAFLD,LightGBM,0.5988,0.6751,0.637,1.91
Wearable,NAFLD,CatBoost,0.5992,0.6772,0.6382,1.7
Gut,Type2_Diabetes,LogisticRegression,0.593,0.6035,0.5982,0.54
Gut,Type2_Diabetes,RandomForest,0.5932,0.6041,0.5986,13.78
Gut,Type2_Diabetes,ExtraTrees,0.5928,0.6042,0.5985,4.62
Gut,Type2_Diabetes,XGBoost,0.5902,0.6005,0.5954,8.72
Gut,Type2_Diabetes,LightGBM,0.5903,0.6007,0.5955,3.01
Gut,Type2_Diabetes,CatBoost,0.5929,0.6024,0.5977,4.76
Gut,Prediabetes,LogisticRegression,0.5776,0.6262,0.6019,0.42
