Disease_Target,Modality_Step,Test_AUROC,Test_AUPRC
Type2_Diabetes,Clinical_Only,0.7777,0.781
Type2_Diabetes,Clinical_Wearable,0.7825,0.7866
Type2_Diabetes,Clinical_Gut,0.7777,0.781
Type2_Diabetes,Full_Multimodal_Fusion,0.7825,0.7866
Prediabetes,Clinical_Only,0.7499,0.7831
Prediabetes,Clinical_Wearable,0.7531,0.7852
Prediabetes,Clinical_Gut,0.7515,0.7851
Prediabetes,Full_Multimodal_Fusion,0.7532,0.786
High_Adiposity_Risk,Clinical_Only,0.7533,0.6393
High_Adiposity_Risk,Clinical_Wearable,0.7547,0.6413
High_Adiposity_Risk,Clinical_Gut,0.7533,0.6391
High_Adiposity_Risk,Full_Multimodal_Fusion,0.7547,0.6412
Metabolic_Syndrome,Clinical_Only,0.7581,0.7931
Metabolic_Syndrome,Clinical_Wearable,0.7586,0.7936
Metabolic_Syndrome,Clinical_Gut,0.7581,0.7937
Metabolic_Syndrome,Full_Multimodal_Fusion,0.7586,0.7942
NAFLD,Clinical_Only,0.774,0.8233
NAFLD,Clinical_Wearable,0.7743,0.8232
NAFLD,Clinical_Gut,0.774,0.8233
NAFLD,Full_Multimodal_Fusion,0.7743,0.8232
