Disease,Expert,Precision,Recall_Sensitivity,Specificity,F1_Score,ROC_AUC,PR_AUC,Brier_Score,Tuned_Threshold,TP,TN,FP,FN,Positive_Prevalence
Type2_Diabetes,Clinical,1.0,1.0,1.0,1.0,1.0,1.0,0.0001,0.1,501,2499,0,0,0.167
Prediabetes,Clinical,1.0,1.0,1.0,1.0,1.0,1.0,0.0001,0.1,572,2428,0,0,0.1907
Obesity,Clinical,1.0,1.0,1.0,1.0,1.0,1.0,0.0001,0.1,770,2230,0,0,0.2567
Metabolic_Syndrome,Clinical,0.99,0.9834,0.9975,0.9867,0.9997,0.9986,0.0049,0.41,594,2390,6,10,0.2013
NAFLD,Clinical,0.8694,0.7597,0.9818,0.8109,0.9611,0.858,0.042,0.43,313,2541,47,99,0.1373
Type2_Diabetes,Wearable,0.975,0.9341,0.9952,0.9541,0.9974,0.9915,0.0121,0.52,468,2487,12,33,0.167
Prediabetes,Wearable,0.888,0.8182,0.9757,0.8517,0.9788,0.927,0.0443,0.46,468,2369,59,104,0.1907
Obesity,Wearable,0.8619,0.8104,0.9552,0.8353,0.9605,0.9193,0.0617,0.45,624,2130,100,146,0.2567
Metabolic_Syndrome,Wearable,0.764,0.745,0.942,0.7544,0.9455,0.834,0.0733,0.37,450,2257,139,154,0.2013
NAFLD,Wearable,0.7742,0.699,0.9675,0.7347,0.9316,0.7678,0.0562,0.37,288,2504,84,124,0.1373
Type2_Diabetes,Gut,0.6531,0.6427,0.9316,0.6479,0.9359,0.6981,0.0807,0.34,322,2328,171,179,0.167
Prediabetes,Gut,0.4499,0.6748,0.8056,0.5399,0.8324,0.4383,0.1227,0.29,386,1956,472,186,0.1907
Obesity,Gut,0.7082,0.7974,0.8865,0.7502,0.9372,0.813,0.0917,0.34,614,1977,253,156,0.2567
Metabolic_Syndrome,Gut,0.654,0.7666,0.8977,0.7058,0.9322,0.7361,0.0882,0.26,463,2151,245,141,0.2013
NAFLD,Gut,0.6202,0.5825,0.9432,0.6008,0.9307,0.6362,0.0756,0.32,240,2441,147,172,0.1373
