pathway,disease,roc_auc,pr_auc,f1_score,brier_score,auc_lift_over_clinical
C,Type2_Diabetes,0.7777,0.781,0.7179,0.1921,0.0
C,Prediabetes,0.7499,0.7831,0.7086,0.2032,0.0
C,High_Adiposity_Risk,0.499,0.3879,0.0,0.2464,0.0
C,Metabolic_Syndrome,0.7581,0.7931,0.7164,0.2001,0.0
C,NAFLD,0.4981,0.5969,0.0,0.4561,0.0
W,Type2_Diabetes,0.6772,0.6974,0.6474,0.2255,-0.1006
W,Prediabetes,0.502,0.5657,0.0,0.2691,-0.2479
W,High_Adiposity_Risk,0.6602,0.5395,0.5509,0.2306,0.1612
W,Metabolic_Syndrome,0.6207,0.6708,0.6285,0.2388,-0.1374
W,NAFLD,0.4971,0.5954,0.1176,0.2515,-0.001
G,Type2_Diabetes,0.5471,0.575,0.4627,0.249,-0.2306
G,Prediabetes,0.5975,0.6462,0.6111,0.2431,-0.1523
G,High_Adiposity_Risk,0.5263,0.4111,0.4467,0.2494,0.0272
G,Metabolic_Syndrome,0.5777,0.6321,0.5924,0.2454,-0.1804
G,NAFLD,0.6379,0.7105,0.4423,0.2474,0.1398
C+W,Type2_Diabetes,0.7819,0.7859,0.6884,0.2427,0.0042
C+W,Prediabetes,0.7494,0.7781,0.696,0.2066,-0.0005
C+W,High_Adiposity_Risk,0.6564,0.535,0.5601,0.2674,0.1574
C+W,Metabolic_Syndrome,0.7584,0.7933,0.7245,0.233,0.0003
C+W,NAFLD,0.4971,0.5961,0.7484,0.2412,-0.001
C+G,Type2_Diabetes,0.7777,0.781,0.6884,0.2449,0.0
C+G,Prediabetes,0.7498,0.7801,0.7097,0.2043,-0.0001
C+G,High_Adiposity_Risk,0.5069,0.3958,0.5601,0.269,0.0079
C+G,Metabolic_Syndrome,0.7582,0.7933,0.7245,0.2331,0.0001
C+G,NAFLD,0.4981,0.5969,0.7484,0.2412,0.0
W+G,Type2_Diabetes,0.6809,0.7028,0.6343,0.2313,-0.0968
W+G,Prediabetes,0.5975,0.6463,0.278,0.2528,-0.1524
W+G,High_Adiposity_Risk,0.6594,0.5381,0.5545,0.2347,0.1603
W+G,Metabolic_Syndrome,0.6327,0.6826,0.6274,0.2387,-0.1254
W+G,NAFLD,0.6372,0.7103,0.4014,0.2485,0.1391
C+W+G,Type2_Diabetes,0.7819,0.7859,0.6884,0.2427,0.0042
C+W+G,Prediabetes,0.7498,0.7801,0.696,0.2066,-0.0001
C+W+G,High_Adiposity_Risk,0.657,0.5358,0.5601,0.2674,0.158
C+W+G,Metabolic_Syndrome,0.7585,0.7937,0.7245,0.2329,0.0004
C+W+G,NAFLD,0.4971,0.5961,0.7484,0.2412,-0.001
