pathway,disease,roc_auc,pr_auc
C,Type2_Diabetes,0.7777 (0.7473-0.8066),0.7810 (0.7416-0.8211)
C,Prediabetes,0.7499 (0.7193-0.7790),0.7831 (0.7468-0.8205)
C,High_Adiposity_Risk,0.4990 (0.4619-0.5372),0.3879 (0.3511-0.4232)
C,Metabolic_Syndrome,0.7581 (0.7279-0.7877),0.7931 (0.7532-0.8279)
C,NAFLD,0.4981 (0.4662-0.5327),0.5969 (0.5629-0.6341)
W,Type2_Diabetes,0.6772 (0.6445-0.7112),0.6974 (0.6547-0.7422)
W,Prediabetes,0.5020 (0.4852-0.5195),0.5657 (0.5348-0.5981)
W,High_Adiposity_Risk,0.6602 (0.6259-0.6962),0.5395 (0.4887-0.5933)
W,Metabolic_Syndrome,0.6207 (0.5862-0.6533),0.6708 (0.6291-0.7150)
W,NAFLD,0.4971 (0.4772-0.5155),0.5954 (0.5653-0.6287)
G,Type2_Diabetes,0.5471 (0.5135-0.5841),0.5750 (0.5293-0.6200)
G,Prediabetes,0.5975 (0.5606-0.6311),0.6462 (0.6052-0.6924)
G,High_Adiposity_Risk,0.5263 (0.4925-0.5611),0.4111 (0.3717-0.4591)
G,Metabolic_Syndrome,0.5777 (0.5403-0.6133),0.6321 (0.5864-0.6791)
G,NAFLD,0.6379 (0.6032-0.6712),0.7105 (0.6696-0.7489)
C+W,Type2_Diabetes,0.7819 (0.7526-0.8112),0.7859 (0.7482-0.8250)
C+W,Prediabetes,0.7494 (0.7186-0.7787),0.7781 (0.7426-0.8153)
C+W,High_Adiposity_Risk,0.6564 (0.6224-0.6941),0.5350 (0.4852-0.5877)
C+W,Metabolic_Syndrome,0.7584 (0.7281-0.7876),0.7933 (0.7540-0.8274)
C+W,NAFLD,0.4971 (0.4644-0.5317),0.5961 (0.5615-0.6348)
C+G,Type2_Diabetes,0.7777 (0.7473-0.8066),0.7810 (0.7416-0.8211)
C+G,Prediabetes,0.7498 (0.7195-0.7793),0.7801 (0.7447-0.8166)
C+G,High_Adiposity_Risk,0.5069 (0.4705-0.5447),0.3958 (0.3562-0.4416)
C+G,Metabolic_Syndrome,0.7582 (0.7282-0.7874),0.7933 (0.7533-0.8277)
C+G,NAFLD,0.4981 (0.4662-0.5327),0.5969 (0.5629-0.6341)
W+G,Type2_Diabetes,0.6809 (0.6462-0.7138),0.7028 (0.6594-0.7449)
W+G,Prediabetes,0.5975 (0.5604-0.6311),0.6463 (0.6046-0.6923)
W+G,High_Adiposity_Risk,0.6594 (0.6255-0.6950),0.5381 (0.4877-0.5930)
W+G,Metabolic_Syndrome,0.6327 (0.5969-0.6675),0.6826 (0.6386-0.7250)
W+G,NAFLD,0.6372 (0.6032-0.6692),0.7103 (0.6703-0.7492)
C+W+G,Type2_Diabetes,0.7819 (0.7526-0.8112),0.7859 (0.7482-0.8250)
C+W+G,Prediabetes,0.7498 (0.7193-0.7793),0.7801 (0.7447-0.8167)
C+W+G,High_Adiposity_Risk,0.6570 (0.6229-0.6949),0.5358 (0.4863-0.5901)
C+W+G,Metabolic_Syndrome,0.7585 (0.7280-0.7876),0.7937 (0.7541-0.8281)
C+W+G,NAFLD,0.4971 (0.4644-0.5317),0.5961 (0.5615-0.6348)
