modality,disease,v3_roc_auc,v4_roc_auc,auc_abs_change,auc_pct_change,v3_pr_auc,v4_pr_auc,v3_f1,v4_f1,v3_brier,v4_brier
Clinical,Type2_Diabetes,0.9991,0.7777,-0.2214,-22.16,0.9991,0.781,0.9945,0.7179,0.0036,0.1921
Clinical,Prediabetes,0.9974,0.7499,-0.2475,-24.82,0.9968,0.7831,0.9878,0.7086,0.0074,0.2032
Clinical,High_Adiposity_Risk,0.9666,0.499,-0.4676,-48.37,0.933,0.3879,0.8488,0.0,0.0683,0.2464
Clinical,Metabolic_Syndrome,0.8775,0.7581,-0.1194,-13.61,0.4396,0.7931,0.4604,0.7164,0.0551,0.2001
Clinical,NAFLD,0.9005,0.4981,-0.4024,-44.69,0.6047,0.5969,0.5876,0.0,0.0787,0.4561
Wearable,Type2_Diabetes,0.9913,0.6772,-0.3141,-31.69,0.9855,0.6974,0.9251,0.6474,0.0365,0.2255
Wearable,Prediabetes,0.9626,0.502,-0.4606,-47.85,0.9224,0.5657,0.8301,0.0,0.0719,0.2691
Wearable,High_Adiposity_Risk,0.8033,0.6602,-0.1431,-17.81,0.6445,0.5395,0.6424,0.5509,0.1653,0.2306
Wearable,Metabolic_Syndrome,0.7236,0.6207,-0.1029,-14.22,0.1833,0.6708,0.2553,0.6285,0.068,0.2388
Wearable,NAFLD,0.5737,0.4971,-0.0766,-13.36,0.1583,0.5954,0.2643,0.1176,0.1185,0.2515
Gut,Type2_Diabetes,0.5052,0.5471,0.0419,8.3,0.3471,0.575,0.5373,0.4627,0.2327,0.249
Gut,Prediabetes,0.4982,0.5975,0.0993,19.94,0.3389,0.6462,0.4772,0.6111,0.215,0.2431
Gut,High_Adiposity_Risk,0.4982,0.5263,0.0281,5.63,0.3227,0.4111,0.4872,0.4467,0.2184,0.2494
Gut,Metabolic_Syndrome,0.5032,0.5777,0.0745,14.81,0.1104,0.6321,0.0,0.5924,0.0715,0.2454
Gut,NAFLD,0.4999,0.6379,0.138,27.6,0.3067,0.7105,0.2348,0.4423,0.1198,0.2474
