modality,disease,feature,top10_frequency,mean_rank,rank_std_dev,is_stable_predictor
Clinical,Type2_Diabetes,Age,1.0,10.0,0.0,True
Clinical,Type2_Diabetes,Gender,1.0,6.0,0.0,True
Clinical,Type2_Diabetes,Height,0.0,13.9,0.44,False
Clinical,Type2_Diabetes,Weight,0.0,12.1,0.44,False
Clinical,Type2_Diabetes,BMI,1.0,9.0,0.0,True
Clinical,Type2_Diabetes,Waist_Circumference,1.0,1.0,0.0,True
Clinical,Type2_Diabetes,Systolic_BP,0.0,13.0,0.0,False
Clinical,Type2_Diabetes,Diastolic_BP,0.45,10.35,6.3,False
Clinical,Type2_Diabetes,Fasting_Blood_Glucose,0.65,8.95,5.42,False
Clinical,Type2_Diabetes,HbA1c,0.9,6.7,3.58,True
Clinical,Type2_Diabetes,Triglycerides,1.0,8.0,0.0,True
Clinical,Type2_Diabetes,HDL,1.0,4.0,0.0,True
Clinical,Type2_Diabetes,LDL,1.0,5.0,0.0,True
Clinical,Type2_Diabetes,ALT,0.0,15.0,0.0,False
Clinical,Type2_Diabetes,AST,1.0,2.0,0.0,True
Clinical,Type2_Diabetes,Family_History_Diabetes,0.0,11.0,0.0,False
Clinical,Type2_Diabetes,Family_History_Hypertension,0.0,17.9,0.3,False
Clinical,Type2_Diabetes,Family_History_CVD,0.0,17.1,0.3,False
Clinical,Prediabetes,Age,1.0,10.0,0.0,True
Clinical,Prediabetes,Gender,1.0,6.0,0.0,True
Clinical,Prediabetes,Height,0.95,9.15,0.65,True
Clinical,Prediabetes,Weight,0.05,11.85,0.65,False
Clinical,Prediabetes,BMI,0.0,14.0,0.0,False
Clinical,Prediabetes,Waist_Circumference,0.05,14.3,3.05,False
Clinical,Prediabetes,Systolic_BP,0.95,1.7,3.05,True
Clinical,Prediabetes,Diastolic_BP,1.0,8.0,0.0,True
Clinical,Prediabetes,Fasting_Blood_Glucose,0.0,16.0,0.0,False
Clinical,Prediabetes,HbA1c,0.0,13.0,0.0,False
Clinical,Prediabetes,Triglycerides,1.0,3.0,0.0,True
Clinical,Prediabetes,HDL,0.4,11.0,7.35,False
Clinical,Prediabetes,LDL,0.6,8.0,7.35,False
