modality,disease,feature,feature_rank,mean_abs_shap,median_abs_shap,pct_contribution,directional_association
Clinical,High_Adiposity_Risk,Waist_Circumference,1,0.309089,0.310063,12.62,Non-linear / context-dependent model risk association
Clinical,High_Adiposity_Risk,ALT,2,0.072606,0.072563,2.96,Non-linear / context-dependent model risk association
Clinical,High_Adiposity_Risk,BMI,3,1.220588,1.224106,49.83,Non-linear / context-dependent model risk association
Clinical,High_Adiposity_Risk,Diastolic_BP,4,0.001849,0.002045,0.08,Higher value associated with higher model-predicted risk
Clinical,High_Adiposity_Risk,Age,5,0.08057,0.080691,3.29,Non-linear / context-dependent model risk association
Clinical,High_Adiposity_Risk,Gender,6,0.004829,0.00521,0.2,Higher value associated with higher model-predicted risk
Clinical,High_Adiposity_Risk,Triglycerides,7,0.023143,0.023627,0.94,Non-linear / context-dependent model risk association
Clinical,High_Adiposity_Risk,Family_History_Hypertension,8,0.005069,0.003463,0.21,Higher value associated with lower model-predicted risk
Clinical,High_Adiposity_Risk,AST,9,0.070955,0.073486,2.9,Non-linear / context-dependent model risk association
Clinical,High_Adiposity_Risk,HbA1c,10,0.068323,0.067823,2.79,Non-linear / context-dependent model risk association
Clinical,High_Adiposity_Risk,HDL,11,0.184767,0.184328,7.54,Non-linear / context-dependent model risk association
Clinical,High_Adiposity_Risk,Height,12,0.102317,0.104247,4.18,Non-linear / context-dependent model risk association
Clinical,High_Adiposity_Risk,Weight,13,0.071478,0.078302,2.92,Higher value associated with higher model-predicted risk
Clinical,High_Adiposity_Risk,Systolic_BP,14,0.045573,0.045495,1.86,Non-linear / context-dependent model risk association
Clinical,High_Adiposity_Risk,Fasting_Blood_Glucose,15,0.0033,0.003204,0.13,Non-linear / context-dependent model risk association
Clinical,High_Adiposity_Risk,Family_History_Diabetes,16,0.001865,0.001325,0.08,Higher value associated with lower model-predicted risk
Clinical,High_Adiposity_Risk,LDL,17,0.18215,0.182167,7.44,Non-linear / context-dependent model risk association
Clinical,High_Adiposity_Risk,Family_History_CVD,18,0.001147,0.000836,0.05,Higher value associated with higher model-predicted risk
Clinical,Metabolic_Syndrome,HbA1c,1,0.110503,0.098115,6.7,Higher value associated with higher model-predicted risk
Clinical,Metabolic_Syndrome,ALT,2,0.052897,0.044243,3.21,Higher value associated with higher model-predicted risk
Clinical,Metabolic_Syndrome,LDL,3,0.087131,0.076662,5.28,Higher value associated with higher model-predicted risk
