modality,disease,feature,feature_rank,mean_abs_shap,median_abs_shap,pct_contribution,directional_association
Clinical,High_Adiposity_Risk,Waist_Circumference,1,0.309089,0.310063,12.62,Non-linear / context-dependent model risk association
Clinical,High_Adiposity_Risk,ALT,2,0.072606,0.072563,2.96,Non-linear / context-dependent model risk association
Clinical,High_Adiposity_Risk,BMI,3,1.220588,1.224106,49.83,Non-linear / context-dependent model risk association
Clinical,High_Adiposity_Risk,Diastolic_BP,4,0.001849,0.002045,0.08,Higher value associated with higher model-predicted risk
Clinical,High_Adiposity_Risk,Age,5,0.08057,0.080691,3.29,Non-linear / context-dependent model risk association
Clinical,High_Adiposity_Risk,Gender,6,0.004829,0.00521,0.2,Higher value associated with higher model-predicted risk
Clinical,High_Adiposity_Risk,Triglycerides,7,0.023143,0.023627,0.94,Non-linear / context-dependent model risk association
Clinical,High_Adiposity_Risk,Family_History_Hypertension,8,0.005069,0.003463,0.21,Higher value associated with lower model-predicted risk
Clinical,High_Adiposity_Risk,AST,9,0.070955,0.073486,2.9,Non-linear / context-dependent model risk association
Clinical,High_Adiposity_Risk,HbA1c,10,0.068323,0.067823,2.79,Non-linear / context-dependent model risk association
Clinical,Metabolic_Syndrome,HbA1c,1,0.110503,0.098115,6.7,Higher value associated with higher model-predicted risk
Clinical,Metabolic_Syndrome,ALT,2,0.052897,0.044243,3.21,Higher value associated with higher model-predicted risk
Clinical,Metabolic_Syndrome,LDL,3,0.087131,0.076662,5.28,Higher value associated with higher model-predicted risk
Clinical,Metabolic_Syndrome,Height,4,0.029211,0.028116,1.77,Higher value associated with higher model-predicted risk
Clinical,Metabolic_Syndrome,Fasting_Blood_Glucose,5,0.016666,0.014336,1.01,Higher value associated with higher model-predicted risk
Clinical,Metabolic_Syndrome,Age,6,0.056673,0.057826,3.44,Higher value associated with higher model-predicted risk
Clinical,Metabolic_Syndrome,Waist_Circumference,7,0.301655,0.287433,18.29,Higher value associated with higher model-predicted risk
Clinical,Metabolic_Syndrome,Weight,8,0.163568,0.154714,9.92,Higher value associated with lower model-predicted risk
Clinical,Metabolic_Syndrome,AST,9,0.051689,0.045604,3.13,Higher value associated with higher model-predicted risk
Clinical,Metabolic_Syndrome,Systolic_BP,10,0.133825,0.120262,8.11,Higher value associated with higher model-predicted risk
Clinical,NAFLD,LDL,1,0.068139,0.066562,2.5,Non-linear / context-dependent model risk association
Clinical,NAFLD,Family_History_CVD,2,0.003352,0.002792,0.12,Higher value associated with lower model-predicted risk
