,Type2_Diabetes,Prediabetes,Obesity,Metabolic_Syndrome,NAFLD
Age,0.5888,0.5845,0.5125,0.5858,0.5761
Gender,0.516,0.5064,0.5158,0.5091,0.5334
Height_cm,0.5197,0.505,0.5178,0.5219,0.5373
Weight_kg,0.7804,0.5617,0.9256,0.8505,0.8384
BMI,0.8295,0.5787,1.0,0.909,0.9047
Waist_Circumference_cm,0.7575,0.5719,0.8863,0.8421,0.8107
Systolic_BP,0.7665,0.5273,0.7589,0.812,0.7766
Diastolic_BP,0.7231,0.5245,0.7143,0.7963,0.714
Fasting_Blood_Glucose,0.9988,0.7858,0.7974,0.8906,0.9026
HbA1c,0.9991,0.7731,0.7987,0.893,0.9062
LDL_Cholesterol,0.613,0.5221,0.6168,0.6175,0.6365
HDL_Cholesterol,0.6654,0.5135,0.6725,0.7452,0.6633
Triglycerides,0.8351,0.5098,0.7713,0.8432,0.8328
ALT,0.9163,0.502,0.8825,0.8591,0.9305
AST,0.8863,0.5315,0.8159,0.8121,0.8936
Family_History_Diabetes,0.5491,0.5546,0.5249,0.5341,0.5398
Family_History_Obesity,0.5452,0.5066,0.5763,0.5554,0.5523
Family_History_Hypertension,0.5122,0.5003,0.5105,0.5096,0.5177
Family_History_NAFLD,0.5508,0.502,0.5396,0.5407,0.5356
