,Akkermansia,Faecalibacterium,Bifidobacterium,Roseburia,Alistipes,Escherichia_Shigella,Collinsella,Prevotella,Blautia,Shannon_Diversity_Index
Akkermansia,1.0,0.2889,0.212,0.2537,0.2136,-0.2296,-0.1971,-0.0002,-0.002,0.3848
Faecalibacterium,0.2889,1.0,0.2514,0.3345,0.2119,-0.2881,-0.2509,-0.0045,0.116,0.5151
Bifidobacterium,0.212,0.2514,1.0,0.2058,0.0092,-0.196,-0.1883,-0.0692,-0.0025,0.3674
Roseburia,0.2537,0.3345,0.2058,1.0,0.1704,-0.2434,-0.0486,-0.0014,0.0623,0.4043
Alistipes,0.2136,0.2119,0.0092,0.1704,1.0,-0.0472,-0.041,-0.0044,-0.0063,0.273
Escherichia_Shigella,-0.2296,-0.2881,-0.196,-0.2434,-0.0472,1.0,0.3641,0.0009,-0.0059,-0.5042
Collinsella,-0.1971,-0.2509,-0.1883,-0.0486,-0.041,0.3641,1.0,0.0038,-0.0088,-0.4188
Prevotella,-0.0002,-0.0045,-0.0692,-0.0014,-0.0044,0.0009,0.0038,1.0,-0.0409,-0.0151
Blautia,-0.002,0.116,-0.0025,0.0623,-0.0063,-0.0059,-0.0088,-0.0409,1.0,0.0404
Shannon_Diversity_Index,0.3848,0.5151,0.3674,0.4043,0.273,-0.5042,-0.4188,-0.0151,0.0404,1.0
