Feature,Mean,Std,Min,25%,Median,75%,Max,Skewness,Kurtosis
Age,46.7144,17.27,18.0,33.0,46.0,58.0,85.0,0.3351,-0.693
Average_Daily_Steps,6787.0034,2027.5675,1000.0,5608.0,6774.0,7863.0,24450.0,2.2154,16.2657
Active_Minutes,20.2478,7.6653,0.0,15.2,20.5,25.5,50.7,-0.1268,-0.1576
Sedentary_Time_Minutes,381.1262,55.6301,210.2,341.7,374.9,413.9,639.1,0.5889,0.4255
Resting_Heart_Rate,65.6694,5.3508,42.0,62.1,65.5,69.0,91.8,0.0111,0.8989
Sleep_Duration,7.3046,0.7841,4.0,6.8,7.3,7.8,10.1,0.0357,-0.033
Calories_Burned,1827.929,234.1719,1243.5,1628.275,1818.55,2021.6,2573.1,0.135,-0.9495
Average_Glucose,146.8804,35.9349,95.3,124.3,132.6,155.6,250.0,1.6221,1.6652
Glucose_Variability,25.4528,10.594,9.3,18.4,21.2,28.8,50.0,1.3535,0.6205
Time_In_Range,39.5582,24.1493,0.0,16.0,45.8,59.0,92.2,-0.3314,-1.1929
Time_Above_Range,58.668,23.8547,5.4,39.4,52.6,82.4,100.0,0.3093,-1.2113
Type2_Diabetes,0.1669,0.3729,0.0,0.0,0.0,0.0,1.0,1.7866,1.1919
Prediabetes,0.1906,0.3927,0.0,0.0,0.0,0.0,1.0,1.5759,0.4834
Obesity,0.2566,0.4368,0.0,0.0,0.0,1.0,1.0,1.1146,-0.7577
Metabolic_Syndrome,0.2015,0.4011,0.0,0.0,0.0,0.0,1.0,1.4883,0.2151
NAFLD,0.1374,0.3443,0.0,0.0,0.0,0.0,1.0,2.1065,2.4373
Healthy,0.5676,0.4954,0.0,0.0,1.0,1.0,1.0,-0.2731,-1.9254
