iter	Logloss
0	0.6902383753
1	0.687550539
2	0.685065337
3	0.6828640727
4	0.6809141691
5	0.6790398077
6	0.6773604056
7	0.6758585669
8	0.6745388814
9	0.6732116214
10	0.6720874923
11	0.6710893189
12	0.6702274786
13	0.6693677339
14	0.6685446442
15	0.6677832508
16	0.6670667714
17	0.6665569437
18	0.666020169
19	0.6655223562
20	0.6650840286
21	0.6647103157
22	0.6643004005
23	0.6639668821
24	0.6636596742
25	0.6633031608
26	0.6630334616
27	0.6627847609
28	0.6625502978
29	0.6623031316
30	0.6621098411
31	0.6619102859
32	0.6617002806
33	0.6615228147
34	0.6613534558
35	0.6611954565
36	0.6610256117
37	0.6608939431
38	0.6607464836
39	0.6606025416
40	0.660458844
41	0.6603205828
42	0.6602044371
43	0.660088382
44	0.6600107379
45	0.6599105498
46	0.6598074342
47	0.6597108467
48	0.659628586
49	0.6595556126
50	0.659491395
51	0.6594301613
52	0.6593472559
53	0.6592793198
54	0.6592104562
55	0.6591463569
56	0.6590887884
57	0.6590313879
58	0.6589695068
59	0.6589079072
60	0.6588558327
61	0.6588027697
62	0.6587514277
63	0.6587075232
64	0.6586589793
65	0.6586038829
66	0.6585395162
67	0.6584907527
68	0.6584356677
69	0.6583699681
70	0.6583142033
71	0.6582598414
72	0.6582048973
73	0.658159617
74	0.6581067204
75	0.6580618936
76	0.6579993992
77	0.6579648997
78	0.6579169663
79	0.6578661892
