iter	Passed	Remaining
0	21	3165
1	42	3140
2	60	2944
3	74	2714
4	86	2518
5	98	2374
6	109	2236
7	120	2139
8	131	2065
9	142	1989
10	151	1909
11	159	1833
12	168	1777
13	177	1728
14	187	1684
15	196	1641
16	205	1609
17	214	1575
18	223	1541
19	232	1508
20	240	1479
21	249	1453
22	259	1430
23	267	1405
24	275	1379
25	284	1354
26	293	1336
27	301	1315
28	310	1297
29	319	1277
30	328	1261
31	337	1245
32	347	1230
33	356	1215
34	365	1201
35	374	1186
36	384	1175
37	393	1161
38	404	1150
39	414	1138
40	422	1123
41	432	1111
42	441	1099
43	450	1085
44	460	1075
45	470	1063
46	479	1051
47	489	1040
48	499	1028
49	508	1016
50	517	1003
51	526	991
52	535	979
53	544	968
54	555	958
55	563	946
56	572	934
57	582	924
58	592	913
59	602	903
60	611	891
61	619	879
62	628	867
63	636	855
64	645	844
65	655	833
66	663	821
67	672	811
68	681	799
69	690	789
70	699	778
71	710	769
72	719	759
73	728	748
74	737	737
75	746	726
76	755	716
77	764	706
78	774	696
79	784	686
80	794	676
81	803	666
82	812	655
83	821	645
84	831	635
85	841	626
86	850	616
87	860	605
88	868	595
89	878	585
90	889	576
91	899	566
92	908	556
93	917	546
94	927	536
95	936	526
96	945	516
97	954	506
98	963	496
99	971	485
100	980	475
101	989	465
102	998	455
103	1007	445
104	1016	435
105	1025	425
106	1036	416
107	1047	407
108	1056	397
109	1066	387
110	1075	377
111	1084	367
112	1093	357
113	1102	348
114	1113	338
115	1124	329
116	1133	319
117	1143	310
118	1153	300
119	1162	290
120	1171	280
121	1180	270
122	1190	261
123	1199	251
124	1208	241
125	1217	231
126	1226	222
127	1236	212
128	1245	202
129	1255	193
130	1263	183
131	1272	173
132	1281	163
133	1290	154
134	1299	144
135	1308	134
136	1317	125
137	1327	115
138	1337	105
139	1346	96
140	1355	86
141	1364	76
142	1373	67
143	1383	57
144	1393	48
145	1403	38
146	1412	28
147	1421	19
148	1429	9
149	1438	0
