Feature,Mean,Std,Min,Q25,Median,Q75,Max,Skewness,Kurtosis
Akkermansia,4.1857,2.5061,0.0,2.21,3.97,5.87,13.31,0.4916,-0.2087
Faecalibacterium,8.588,4.4949,0.0,5.23,8.4,11.64,23.82,0.2826,-0.3973
Bifidobacterium,4.9469,2.7932,0.0,2.81,4.73,6.85,14.58,0.4076,-0.3013
Roseburia,4.3202,2.4169,0.0,2.44,4.18,5.9625,13.09,0.3798,-0.318
Alistipes,3.4784,1.9306,0.0,2.03,3.35,4.77,10.12,0.3826,-0.3023
Escherichia_Shigella,2.9158,1.9815,0.0,1.3,2.61,4.21,11.15,0.7644,0.2695
Collinsella,2.0966,1.4134,0.0,0.94,1.91,3.03,7.78,0.7071,0.204
Prevotella,6.5114,5.2659,0.0,2.97,4.98,8.26,30.0,1.945,4.5944
Blautia,4.9155,3.3775,0.0,2.61,4.03,6.22,20.0,1.7492,3.9012
Shannon_Diversity_Index,2.7895,0.6832,1.0,2.3329,2.8111,3.2672,5.0,-0.1214,-0.2185
