pathway,disease,roc_auc,pr_auc
C,Type2_Diabetes,0.7777 (0.7614-0.7945),0.7810 (0.7563-0.8038)
C,Prediabetes,0.7499 (0.7325-0.7677),0.7831 (0.7618-0.8057)
C,High_Adiposity_Risk,0.4990 (0.4794-0.5188),0.3879 (0.3653-0.4094)
C,Metabolic_Syndrome,0.7581 (0.7416-0.7735),0.7931 (0.7721-0.8120)
C,NAFLD,0.4981 (0.4793-0.5167),0.5969 (0.5781-0.6170)
W,Type2_Diabetes,0.6772 (0.6594-0.6969),0.6974 (0.6725-0.7207)
W,Prediabetes,0.5020 (0.4924-0.5117),0.5657 (0.5463-0.5841)
W,High_Adiposity_Risk,0.6602 (0.6418-0.6826),0.5395 (0.5079-0.5706)
W,Metabolic_Syndrome,0.6207 (0.6010-0.6401),0.6708 (0.6479-0.6954)
W,NAFLD,0.4971 (0.4862-0.5082),0.5954 (0.5773-0.6135)
G,Type2_Diabetes,0.5471 (0.5268-0.5681),0.5750 (0.5484-0.5990)
G,Prediabetes,0.5975 (0.5766-0.6183),0.6462 (0.6229-0.6726)
G,High_Adiposity_Risk,0.5263 (0.5063-0.5481),0.4111 (0.3850-0.4399)
G,Metabolic_Syndrome,0.5777 (0.5578-0.5992),0.6321 (0.6062-0.6590)
G,NAFLD,0.6379 (0.6167-0.6588),0.7105 (0.6866-0.7358)
C+W,Type2_Diabetes,0.7819 (0.7657-0.7984),0.7859 (0.7623-0.8086)
C+W,Prediabetes,0.7494 (0.7318-0.7669),0.7781 (0.7568-0.8005)
C+W,High_Adiposity_Risk,0.6564 (0.6375-0.6794),0.5350 (0.5044-0.5668)
C+W,Metabolic_Syndrome,0.7584 (0.7418-0.7736),0.7933 (0.7718-0.8124)
C+W,NAFLD,0.4971 (0.4781-0.5168),0.5961 (0.5772-0.6174)
C+G,Type2_Diabetes,0.7777 (0.7614-0.7945),0.7810 (0.7563-0.8038)
C+G,Prediabetes,0.7498 (0.7326-0.7673),0.7801 (0.7590-0.8025)
C+G,High_Adiposity_Risk,0.5069 (0.4859-0.5273),0.3958 (0.3711-0.4225)
C+G,Metabolic_Syndrome,0.7582 (0.7416-0.7735),0.7933 (0.7721-0.8122)
C+G,NAFLD,0.4981 (0.4793-0.5167),0.5969 (0.5781-0.6170)
W+G,Type2_Diabetes,0.6809 (0.6615-0.7006),0.7028 (0.6774-0.7258)
W+G,Prediabetes,0.5975 (0.5767-0.6182),0.6463 (0.6231-0.6729)
W+G,High_Adiposity_Risk,0.6594 (0.6407-0.6807),0.5381 (0.5080-0.5680)
W+G,Metabolic_Syndrome,0.6327 (0.6142-0.6521),0.6826 (0.6582-0.7069)
W+G,NAFLD,0.6372 (0.6161-0.6582),0.7103 (0.6866-0.7354)
C+W+G,Type2_Diabetes,0.7819 (0.7657-0.7984),0.7859 (0.7623-0.8086)
C+W+G,Prediabetes,0.7498 (0.7324-0.7674),0.7801 (0.7590-0.8025)
C+W+G,High_Adiposity_Risk,0.6570 (0.6378-0.6796),0.5358 (0.5057-0.5668)
C+W+G,Metabolic_Syndrome,0.7585 (0.7420-0.7737),0.7937 (0.7722-0.8124)
C+W+G,NAFLD,0.4971 (0.4781-0.5168),0.5961 (0.5772-0.6174)
