modality,disease,feature,feature_rank,mean_abs_shap,median_abs_shap,pct_contribution,directional_association
Gut,High_Adiposity_Risk,Phascolarctobacterium_faecium,1,0.003276,0.002686,0.34,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Faecalibacterium_prausnitzii,2,0.067761,0.05874,7.02,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Prevotella_copri,3,0.034718,0.027558,3.6,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Eubacterium_hallii,4,0.006994,0.005925,0.72,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Shannon_Diversity,5,0.040618,0.032006,4.21,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Ruminococcus_bromii,6,0.023208,0.01887,2.4,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Klebsiella_pneumoniae,7,0.018878,0.015158,1.95,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Alistipes_finegoldii,8,0.003672,0.003101,0.38,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Coprococcus_eutactus,9,0.011123,0.00942,1.15,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Bacteroides_fragilis,10,0.019702,0.016691,2.04,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Blautia_wexlerae,11,0.018442,0.016097,1.91,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Roseburia_intestinalis,12,0.02647,0.021399,2.74,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Eubacterium_rectale,13,0.025385,0.019897,2.63,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Butyrate_Producer_Index,14,0.002015,0.001781,0.21,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Escherichia_coli,15,0.044312,0.040323,4.59,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Bifidobacterium_adolescentis,16,0.003971,0.003148,0.41,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Subdoligranulum_variable,17,0.020051,0.017072,2.08,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Eggerthella_lenta,18,0.014502,0.012757,1.5,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Bilophila_wadsworthia,19,0.003425,0.002801,0.35,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Simpson_Diversity,20,0.016505,0.013677,1.71,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Alistipes_putredinis,21,0.006478,0.005214,0.67,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Bifidobacterium_longum,22,0.017359,0.013612,1.8,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Ruminococcus_gnavus,23,0.05305,0.044477,5.49,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Veillonella_parvula,24,0.008452,0.006822,0.88,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Bacteroides_vulgatus,25,0.021673,0.018028,2.24,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Holdemanella_biformis,26,0.006484,0.005321,0.67,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Streptococcus_thermophilus,27,0.001254,0.001027,0.13,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Log_Firmicutes_Bacteroidetes_Ratio,28,0.104217,0.084906,10.79,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Lactobacillus_acidophilus,29,0.008477,0.006572,0.88,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Dialister_invisus,30,0.001463,0.001172,0.15,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Observed_Richness,31,0.022475,0.018183,2.33,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Inflammation_Associated_Index,32,0.013552,0.012676,1.4,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Fusobacterium_nucleatum,33,0.010405,0.008754,1.08,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Blautia_hansenii,34,0.003021,0.002577,0.31,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Christensenella_minuta,35,0.009946,0.008012,1.03,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,SCFA_Producer_Index,36,0.030387,0.027608,3.15,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Barnesiella_intestinihominis,37,0.022554,0.019018,2.34,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Methanobrevibacter_smithii,38,0.003425,0.00281,0.35,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Pielou_Evenness,39,0.018839,0.015105,1.95,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Anaerostipes_caccae,40,0.01075,0.008373,1.11,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Bacteroides_thetaiotaomicron,41,0.026221,0.022554,2.72,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Parabacteroides_distasonis,42,0.036187,0.030376,3.75,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Collinsella_aerofaciens,43,0.022359,0.01749,2.32,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Enterococcus_faecalis,44,0.049173,0.043017,5.09,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Bacteroides_uniformis,45,0.021655,0.017688,2.24,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Barrier_Associated_Index,46,0.004616,0.00384,0.48,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Sutterella_wadsworthensis,47,0.008041,0.006674,0.83,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Lactobacillus_rhamnosus,48,0.011134,0.009222,1.15,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Akkermansia_muciniphila,49,0.007047,0.005658,0.73,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Fusobacterium_nucleatum,1,0.01903,0.016009,2.52,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Veillonella_parvula,2,0.024813,0.020027,3.28,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Anaerostipes_caccae,3,0.002171,0.001691,0.29,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Streptococcus_thermophilus,4,0.010334,0.008462,1.37,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Phascolarctobacterium_faecium,5,0.00078,0.00064,0.1,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Alistipes_finegoldii,6,0.009003,0.007604,1.19,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,SCFA_Producer_Index,7,0.011515,0.010462,1.52,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Alistipes_putredinis,8,0.009888,0.00796,1.31,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Holdemanella_biformis,9,0.013087,0.010739,1.73,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Dialister_invisus,10,0.008762,0.007022,1.16,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Barrier_Associated_Index,11,0.013706,0.011401,1.81,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Bacteroides_vulgatus,12,0.002448,0.002036,0.32,Higher value associated with higher model-predicted risk
