modality,disease,model_architecture,roc_auc,pr_auc,accuracy,f1_score,brier_score
Clinical,Type2_Diabetes,Logistic_Regression,0.7777,0.781,0.7103,0.7281,0.1918
Clinical,Type2_Diabetes,Random_Forest,0.7711,0.7732,0.7073,0.7238,0.1945
Clinical,Type2_Diabetes,LightGBM,0.7756,0.7787,0.7095,0.7254,0.1929
Clinical,Type2_Diabetes,V4_Frozen_Expert,0.7777,0.781,0.7088,0.7179,0.1921
Clinical,Prediabetes,Logistic_Regression,0.7499,0.7831,0.6879,0.7315,0.2004
Clinical,Prediabetes,Random_Forest,0.7409,0.7732,0.6821,0.7268,0.2037
Clinical,Prediabetes,LightGBM,0.7465,0.7807,0.6861,0.7307,0.2018
Clinical,Prediabetes,V4_Frozen_Expert,0.7499,0.7831,0.6853,0.7086,0.2032
Clinical,High_Adiposity_Risk,Logistic_Regression,0.7546,0.6413,0.7021,0.591,0.1934
Clinical,High_Adiposity_Risk,Random_Forest,0.7482,0.6314,0.6997,0.5873,0.1957
Clinical,High_Adiposity_Risk,LightGBM,0.7531,0.6369,0.7022,0.5895,0.1941
Clinical,High_Adiposity_Risk,V4_Frozen_Expert,0.499,0.3879,0.611,0.0,0.2464
Clinical,Metabolic_Syndrome,Logistic_Regression,0.7582,0.7931,0.6979,0.7433,0.197
Clinical,Metabolic_Syndrome,Random_Forest,0.7529,0.7885,0.6929,0.7417,0.199
Clinical,Metabolic_Syndrome,LightGBM,0.7556,0.7906,0.6957,0.7441,0.1981
Clinical,Metabolic_Syndrome,V4_Frozen_Expert,0.7581,0.7931,0.6923,0.7164,0.2001
Clinical,NAFLD,Logistic_Regression,0.7725,0.8227,0.7149,0.769,0.1885
Clinical,NAFLD,Random_Forest,0.7704,0.8191,0.718,0.7728,0.1891
Clinical,NAFLD,LightGBM,0.7735,0.8231,0.7175,0.7734,0.188
Clinical,NAFLD,V4_Frozen_Expert,0.4981,0.5969,0.402,0.0,0.4561
Wearable,Type2_Diabetes,Logistic_Regression,0.6772,0.6974,0.6261,0.6678,0.2251
Wearable,Type2_Diabetes,Random_Forest,0.6726,0.6925,0.6221,0.6542,0.226
Wearable,Type2_Diabetes,LightGBM,0.6781,0.697,0.6268,0.6607,0.2248
Wearable,Type2_Diabetes,V4_Frozen_Expert,0.6772,0.6974,0.6251,0.6474,0.2255
Wearable,Prediabetes,Logistic_Regression,0.6562,0.7098,0.6238,0.7016,0.2271
Wearable,Prediabetes,Random_Forest,0.6544,0.7073,0.6221,0.6947,0.2276
Wearable,Prediabetes,LightGBM,0.6574,0.71,0.6249,0.695,0.2269
Wearable,Prediabetes,V4_Frozen_Expert,0.502,0.5657,0.4354,0.0,0.2691
Wearable,High_Adiposity_Risk,Logistic_Regression,0.6603,0.5395,0.6421,0.4217,0.2199
Wearable,High_Adiposity_Risk,Random_Forest,0.6548,0.53,0.6413,0.4008,0.2212
Wearable,High_Adiposity_Risk,LightGBM,0.6572,0.5332,0.6413,0.397,0.2206
Wearable,High_Adiposity_Risk,V4_Frozen_Expert,0.6602,0.5395,0.6175,0.5509,0.2306
Wearable,Metabolic_Syndrome,Logistic_Regression,0.6207,0.6708,0.6031,0.7042,0.2346
Wearable,Metabolic_Syndrome,Random_Forest,0.6153,0.6635,0.6015,0.705,0.2358
Wearable,Metabolic_Syndrome,LightGBM,0.6212,0.6716,0.6025,0.7055,0.2346
Wearable,Metabolic_Syndrome,V4_Frozen_Expert,0.6207,0.6708,0.5891,0.6285,0.2388
Wearable,NAFLD,Logistic_Regression,0.5986,0.6774,0.6137,0.7365,0.2332
Wearable,NAFLD,Random_Forest,0.5965,0.6755,0.6118,0.738,0.2337
Wearable,NAFLD,LightGBM,0.599,0.6769,0.6102,0.7371,0.2333
Wearable,NAFLD,V4_Frozen_Expert,0.4971,0.5954,0.4127,0.1176,0.2515
Gut,Type2_Diabetes,Logistic_Regression,0.5934,0.6096,0.5649,0.6234,0.2428
Gut,Type2_Diabetes,Random_Forest,0.5827,0.5988,0.5593,0.6161,0.2444
Gut,Type2_Diabetes,LightGBM,0.5918,0.6023,0.5649,0.6236,0.2431
Gut,Type2_Diabetes,V4_Frozen_Expert,0.5471,0.575,0.5265,0.4627,0.249
Gut,Prediabetes,Logistic_Regression,0.5976,0.6463,0.5867,0.6883,0.2391
Gut,Prediabetes,Random_Forest,0.585,0.6344,0.577,0.6783,0.2406
Gut,Prediabetes,LightGBM,0.5918,0.6399,0.5831,0.6853,0.2398
Gut,Prediabetes,V4_Frozen_Expert,0.5975,0.6462,0.5731,0.6111,0.2431
Gut,High_Adiposity_Risk,Logistic_Regression,0.5261,0.4111,0.611,0.0,0.2372
Gut,High_Adiposity_Risk,Random_Forest,0.5124,0.3969,0.6095,0.0141,0.2386
Gut,High_Adiposity_Risk,LightGBM,0.5255,0.4088,0.6109,0.0041,0.2373
Gut,High_Adiposity_Risk,V4_Frozen_Expert,0.5263,0.4111,0.5198,0.4467,0.2494
Gut,Metabolic_Syndrome,Logistic_Regression,0.5777,0.6321,0.5784,0.6946,0.2409
Gut,Metabolic_Syndrome,Random_Forest,0.5748,0.6278,0.5779,0.6927,0.2416
Gut,Metabolic_Syndrome,LightGBM,0.576,0.6304,0.5804,0.6954,0.2411
Gut,Metabolic_Syndrome,V4_Frozen_Expert,0.5777,0.6321,0.5543,0.5924,0.2454
Gut,NAFLD,Logistic_Regression,0.6488,0.718,0.6333,0.7287,0.225
Gut,NAFLD,Random_Forest,0.6421,0.7139,0.6309,0.7275,0.2262
Gut,NAFLD,LightGBM,0.6462,0.7144,0.6322,0.7313,0.2255
Gut,NAFLD,V4_Frozen_Expert,0.6379,0.7105,0.5257,0.4423,0.2474
