Modality,Disease_Target,Classifier,Val_AUROC,Val_AUPRC,Val_Selection_Score,Fit_Time_Sec
Clinical,Type2_Diabetes,LogisticRegression,1.0,1.0,1.0,0.09
Clinical,Type2_Diabetes,RandomForest,1.0,1.0,1.0,0.81
Clinical,Type2_Diabetes,ExtraTrees,1.0,1.0,1.0,0.51
Clinical,Type2_Diabetes,XGBoost,1.0,1.0,1.0,0.35
Clinical,Type2_Diabetes,LightGBM,1.0,1.0,1.0,0.27
Clinical,Type2_Diabetes,CatBoost,1.0,1.0,1.0,0.82
Clinical,Prediabetes,LogisticRegression,0.6983,0.2635,0.4809,0.16
Clinical,Prediabetes,RandomForest,0.9988,0.9949,0.9969,0.99
Clinical,Prediabetes,ExtraTrees,0.9959,0.9812,0.9886,0.69
Clinical,Prediabetes,XGBoost,0.9995,0.9978,0.9986,0.34
Clinical,Prediabetes,LightGBM,0.9994,0.9974,0.9984,0.25
Clinical,Prediabetes,CatBoost,0.9992,0.9968,0.998,0.5
Clinical,High_Adiposity_Risk,LogisticRegression,0.9403,0.9105,0.9254,0.22
Clinical,High_Adiposity_Risk,RandomForest,0.9415,0.9118,0.9267,1.32
Clinical,High_Adiposity_Risk,ExtraTrees,0.9318,0.8931,0.9125,0.69
Clinical,High_Adiposity_Risk,XGBoost,0.9426,0.9144,0.9285,0.34
Clinical,High_Adiposity_Risk,LightGBM,0.9427,0.9145,0.9286,0.28
Clinical,High_Adiposity_Risk,CatBoost,0.9422,0.9129,0.9276,0.52
Clinical,Metabolic_Syndrome,LogisticRegression,0.9972,0.9979,0.9975,0.14
Clinical,Metabolic_Syndrome,RandomForest,0.997,0.9976,0.9973,1.16
Clinical,Metabolic_Syndrome,ExtraTrees,0.994,0.9951,0.9945,0.71
Clinical,Metabolic_Syndrome,XGBoost,0.9978,0.9983,0.998,0.4
Clinical,Metabolic_Syndrome,LightGBM,0.9977,0.9982,0.998,0.31
Clinical,Metabolic_Syndrome,CatBoost,0.9975,0.9981,0.9978,0.7
Clinical,NAFLD,LogisticRegression,0.9754,0.9834,0.9794,0.1
Clinical,NAFLD,RandomForest,0.9798,0.9862,0.983,1.28
Clinical,NAFLD,ExtraTrees,0.9765,0.9841,0.9803,0.63
Clinical,NAFLD,XGBoost,0.9808,0.987,0.9839,0.32
Clinical,NAFLD,LightGBM,0.981,0.9872,0.9841,0.26
Clinical,NAFLD,CatBoost,0.9803,0.9869,0.9836,0.45
Wearable,Type2_Diabetes,LogisticRegression,0.6726,0.6989,0.6857,0.11
Wearable,Type2_Diabetes,RandomForest,0.6865,0.7114,0.6989,1.02
Wearable,Type2_Diabetes,ExtraTrees,0.6801,0.7072,0.6937,0.54
Wearable,Type2_Diabetes,XGBoost,0.6882,0.7129,0.7006,0.35
Wearable,Type2_Diabetes,LightGBM,0.6876,0.7119,0.6997,0.27
Wearable,Type2_Diabetes,CatBoost,0.6843,0.7107,0.6975,0.43
Wearable,Prediabetes,LogisticRegression,0.5357,0.2102,0.3729,0.11
Wearable,Prediabetes,RandomForest,0.5404,0.2128,0.3766,1.0
Wearable,Prediabetes,ExtraTrees,0.5413,0.2128,0.377,0.53
Wearable,Prediabetes,XGBoost,0.5412,0.2114,0.3763,0.3
Wearable,Prediabetes,LightGBM,0.5411,0.2129,0.377,0.23
Wearable,Prediabetes,CatBoost,0.5397,0.2128,0.3762,0.45
Wearable,High_Adiposity_Risk,LogisticRegression,0.6745,0.5618,0.6182,0.1
Wearable,High_Adiposity_Risk,RandomForest,0.6717,0.5577,0.6147,0.99
Wearable,High_Adiposity_Risk,ExtraTrees,0.6708,0.5566,0.6137,0.52
Wearable,High_Adiposity_Risk,XGBoost,0.6748,0.561,0.6179,0.37
Wearable,High_Adiposity_Risk,LightGBM,0.6743,0.5598,0.617,0.32
Wearable,High_Adiposity_Risk,CatBoost,0.6737,0.5591,0.6164,0.53
Wearable,Metabolic_Syndrome,LogisticRegression,0.6151,0.674,0.6445,0.09
Wearable,Metabolic_Syndrome,RandomForest,0.6136,0.6709,0.6423,1.0
Wearable,Metabolic_Syndrome,ExtraTrees,0.6122,0.6699,0.641,0.5
Wearable,Metabolic_Syndrome,XGBoost,0.6148,0.6721,0.6435,0.33
Wearable,Metabolic_Syndrome,LightGBM,0.6144,0.672,0.6432,0.26
Wearable,Metabolic_Syndrome,CatBoost,0.6144,0.6708,0.6426,0.57
Wearable,NAFLD,LogisticRegression,0.6086,0.6863,0.6474,0.17
Wearable,NAFLD,RandomForest,0.6032,0.6815,0.6424,1.22
Wearable,NAFLD,ExtraTrees,0.6017,0.6802,0.6409,0.57
Wearable,NAFLD,XGBoost,0.6053,0.6822,0.6437,0.31
Wearable,NAFLD,LightGBM,0.6053,0.683,0.6442,0.32
Wearable,NAFLD,CatBoost,0.6051,0.6821,0.6436,0.59
Gut,Type2_Diabetes,LogisticRegression,0.5966,0.6044,0.6005,0.48
Gut,Type2_Diabetes,RandomForest,0.5936,0.6021,0.5978,5.13
Gut,Type2_Diabetes,ExtraTrees,0.5929,0.6022,0.5975,1.36
Gut,Type2_Diabetes,XGBoost,0.5929,0.6013,0.5971,1.41
Gut,Type2_Diabetes,LightGBM,0.5929,0.5998,0.5964,0.82
Gut,Type2_Diabetes,CatBoost,0.5947,0.6046,0.5997,2.15
Gut,Prediabetes,LogisticRegression,0.5152,0.2079,0.3616,0.18
Gut,Prediabetes,RandomForest,0.511,0.2061,0.3586,4.45
Gut,Prediabetes,ExtraTrees,0.513,0.206,0.3595,1.22
Gut,Prediabetes,XGBoost,0.5096,0.2049,0.3573,1.01
Gut,Prediabetes,LightGBM,0.5065,0.2038,0.3552,0.61
Gut,Prediabetes,CatBoost,0.5128,0.2055,0.3592,1.49
Gut,High_Adiposity_Risk,LogisticRegression,0.5273,0.4127,0.47,0.56
Gut,High_Adiposity_Risk,RandomForest,0.5218,0.4126,0.4672,7.8
Gut,High_Adiposity_Risk,ExtraTrees,0.52,0.41,0.465,1.47
Gut,High_Adiposity_Risk,XGBoost,0.5238,0.4115,0.4677,1.4
Gut,High_Adiposity_Risk,LightGBM,0.5238,0.4148,0.4693,0.88
Gut,High_Adiposity_Risk,CatBoost,0.5239,0.4106,0.4673,1.63
Gut,Metabolic_Syndrome,LogisticRegression,0.5791,0.6331,0.6061,0.56
Gut,Metabolic_Syndrome,RandomForest,0.5776,0.6301,0.6039,4.2
Gut,Metabolic_Syndrome,ExtraTrees,0.5758,0.6317,0.6038,1.2
Gut,Metabolic_Syndrome,XGBoost,0.579,0.6326,0.6058,1.13
Gut,Metabolic_Syndrome,LightGBM,0.5756,0.6283,0.6019,0.81
Gut,Metabolic_Syndrome,CatBoost,0.5783,0.6315,0.6049,1.71
