Disease_Target,Modality_Step,Test_AUROC,Test_AUPRC
Type2_Diabetes,Clinical_Only,0.5,0.5225
Type2_Diabetes,Clinical_Wearable,0.6964,0.7218
Type2_Diabetes,Clinical_Gut,0.5854,0.5942
Type2_Diabetes,Full_Multimodal_Fusion,0.7047,0.7272
Prediabetes,Clinical_Only,0.9995,0.9979
Prediabetes,Clinical_Wearable,0.9995,0.9979
Prediabetes,Clinical_Gut,0.9995,0.9979
Prediabetes,Full_Multimodal_Fusion,0.9995,0.9979
High_Adiposity_Risk,Clinical_Only,0.5,0.3957
High_Adiposity_Risk,Clinical_Wearable,0.673,0.5641
High_Adiposity_Risk,Clinical_Gut,0.5308,0.4203
High_Adiposity_Risk,Full_Multimodal_Fusion,0.6734,0.5654
Metabolic_Syndrome,Clinical_Only,0.9977,0.9982
Metabolic_Syndrome,Clinical_Wearable,0.9977,0.9983
Metabolic_Syndrome,Clinical_Gut,0.9976,0.9982
Metabolic_Syndrome,Full_Multimodal_Fusion,0.9977,0.9983
NAFLD,Clinical_Only,0.5,0.6059
NAFLD,Clinical_Wearable,0.594,0.6874
NAFLD,Clinical_Gut,0.6487,0.7268
NAFLD,Full_Multimodal_Fusion,0.663,0.7399
