Disease_Target,Combination,Meta_Learner,Val_AUROC,Val_AUPRC,Val_Selection_Score,Fit_Time_Sec
Type2_Diabetes,Clinical_Only,LogisticRegression,0.5,0.523,0.5115,0.02
Type2_Diabetes,Clinical_Only,LightGBM,0.5,0.523,0.5115,0.03
Type2_Diabetes,Clinical_Only,XGBoost,0.5,0.523,0.5115,0.05
Type2_Diabetes,Wearable_Only,LogisticRegression,0.6882,0.7129,0.7006,0.05
Type2_Diabetes,Wearable_Only,LightGBM,0.6878,0.7052,0.6965,0.13
Type2_Diabetes,Wearable_Only,XGBoost,0.6877,0.7049,0.6963,0.06
Type2_Diabetes,Gut_Only,LogisticRegression,0.5966,0.6044,0.6005,0.02
Type2_Diabetes,Gut_Only,LightGBM,0.5965,0.6006,0.5985,0.07
Type2_Diabetes,Gut_Only,XGBoost,0.5962,0.6017,0.5989,0.07
Type2_Diabetes,Clinical_Wearable,LogisticRegression,0.6882,0.7129,0.7006,0.05
Type2_Diabetes,Clinical_Wearable,LightGBM,0.6878,0.7052,0.6965,0.14
Type2_Diabetes,Clinical_Wearable,XGBoost,0.6877,0.7049,0.6963,0.07
Type2_Diabetes,Clinical_Gut,LogisticRegression,0.5966,0.6044,0.6005,0.02
Type2_Diabetes,Clinical_Gut,LightGBM,0.5965,0.6006,0.5985,0.15
Type2_Diabetes,Clinical_Gut,XGBoost,0.5962,0.6017,0.5989,0.07
Type2_Diabetes,Wearable_Gut,LogisticRegression,0.6997,0.724,0.7118,0.02
Type2_Diabetes,Wearable_Gut,LightGBM,0.6991,0.7213,0.7102,0.08
Type2_Diabetes,Wearable_Gut,XGBoost,0.6989,0.7213,0.7101,0.07
Type2_Diabetes,Full_Multimodal_Fusion,LogisticRegression,0.6997,0.724,0.7118,0.03
Type2_Diabetes,Full_Multimodal_Fusion,LightGBM,0.6991,0.7213,0.7102,0.09
Type2_Diabetes,Full_Multimodal_Fusion,XGBoost,0.6989,0.7213,0.7101,0.1
Prediabetes,Clinical_Only,LogisticRegression,0.9995,0.9978,0.9986,0.1
Prediabetes,Clinical_Only,LightGBM,0.9992,0.995,0.9971,0.11
Prediabetes,Clinical_Only,XGBoost,0.998,0.9851,0.9916,0.05
Prediabetes,Wearable_Only,LogisticRegression,0.5,0.1989,0.3495,0.03
Prediabetes,Wearable_Only,LightGBM,0.5,0.1989,0.3495,0.07
Prediabetes,Wearable_Only,XGBoost,0.5,0.1989,0.3495,0.08
Prediabetes,Gut_Only,LogisticRegression,0.5152,0.2079,0.3616,0.02
Prediabetes,Gut_Only,LightGBM,0.5088,0.2019,0.3553,0.16
Prediabetes,Gut_Only,XGBoost,0.5112,0.2035,0.3573,0.06
Prediabetes,Clinical_Wearable,LogisticRegression,0.9995,0.9978,0.9986,0.04
Prediabetes,Clinical_Wearable,LightGBM,0.9992,0.995,0.9971,0.05
Prediabetes,Clinical_Wearable,XGBoost,0.998,0.9851,0.9916,0.06
Prediabetes,Clinical_Gut,LogisticRegression,0.9995,0.9978,0.9987,0.09
Prediabetes,Clinical_Gut,LightGBM,0.9992,0.995,0.9971,0.08
Prediabetes,Clinical_Gut,XGBoost,0.998,0.9851,0.9916,0.06
Prediabetes,Wearable_Gut,LogisticRegression,0.5152,0.2079,0.3616,0.02
Prediabetes,Wearable_Gut,LightGBM,0.5088,0.2019,0.3553,0.06
Prediabetes,Wearable_Gut,XGBoost,0.5112,0.2035,0.3573,0.06
Prediabetes,Full_Multimodal_Fusion,LogisticRegression,0.9995,0.9978,0.9987,0.07
Prediabetes,Full_Multimodal_Fusion,LightGBM,0.9992,0.995,0.9971,0.07
Prediabetes,Full_Multimodal_Fusion,XGBoost,0.998,0.9851,0.9916,0.07
High_Adiposity_Risk,Clinical_Only,LogisticRegression,0.5,0.3942,0.4471,0.02
High_Adiposity_Risk,Clinical_Only,LightGBM,0.5,0.3942,0.4471,0.03
High_Adiposity_Risk,Clinical_Only,XGBoost,0.5,0.3942,0.4471,0.05
