Ablation_Set,Pipeline,Includes_Other_Taxa,Architecture,Num_Features,Val_Macro_F1,Val_Micro_F1,Val_Hamming_Loss,Val_Mean_Brier
A_Core_Taxa_v1,RAW,False,CATBOOST,10,0.3494,0.3817,0.1609,0.1207
A_Core_Taxa_v1,RAW,False,XGBOOST,10,0.3433,0.3748,0.1635,0.1222
A_Core_Taxa_v1,RAW,False,LIGHTGBM,10,0.3442,0.3746,0.1634,0.1225
A_Core_Taxa_v1,CLR,False,CATBOOST,10,0.3588,0.3918,0.1587,0.1197
A_Core_Taxa_v1,CLR,False,XGBOOST,10,0.3597,0.3913,0.1599,0.1206
A_Core_Taxa_v1,CLR,False,LIGHTGBM,10,0.3527,0.3857,0.161,0.1213
B_Expanded_Taxa_Only,RAW,False,CATBOOST,20,0.3824,0.4194,0.1551,0.1182
B_Expanded_Taxa_Only,RAW,False,XGBOOST,20,0.3732,0.4077,0.1592,0.1196
B_Expanded_Taxa_Only,RAW,False,LIGHTGBM,20,0.37,0.4047,0.1589,0.1199
B_Expanded_Taxa_Only,CLR,False,CATBOOST,20,0.3747,0.4089,0.1567,0.1185
B_Expanded_Taxa_Only,CLR,False,XGBOOST,20,0.3726,0.4061,0.1583,0.1193
B_Expanded_Taxa_Only,CLR,False,LIGHTGBM,20,0.3712,0.4055,0.1579,0.1197
C_Expanded_Taxa_Plus_Ecological,RAW,False,CATBOOST,24,0.376,0.4128,0.1569,0.1186
C_Expanded_Taxa_Plus_Ecological,RAW,False,XGBOOST,24,0.3651,0.4002,0.1603,0.1199
C_Expanded_Taxa_Plus_Ecological,RAW,False,LIGHTGBM,24,0.3696,0.4057,0.1592,0.1199
C_Expanded_Taxa_Plus_Ecological,CLR,False,CATBOOST,24,0.3795,0.4143,0.1557,0.1182
C_Expanded_Taxa_Plus_Ecological,CLR,False,XGBOOST,24,0.3699,0.4028,0.1587,0.1194
C_Expanded_Taxa_Plus_Ecological,CLR,False,LIGHTGBM,24,0.3695,0.4028,0.1581,0.1197
D_Expanded_Taxa_Plus_Functional,RAW,False,CATBOOST,24,0.3775,0.4138,0.1555,0.1181
D_Expanded_Taxa_Plus_Functional,RAW,False,XGBOOST,24,0.3826,0.4199,0.1562,0.1193
D_Expanded_Taxa_Plus_Functional,RAW,False,LIGHTGBM,24,0.3746,0.4115,0.1587,0.1195
D_Expanded_Taxa_Plus_Functional,CLR,False,CATBOOST,24,0.3709,0.4054,0.1563,0.1182
D_Expanded_Taxa_Plus_Functional,CLR,False,XGBOOST,24,0.3691,0.4014,0.1585,0.119
D_Expanded_Taxa_Plus_Functional,CLR,False,LIGHTGBM,24,0.3751,0.4092,0.1573,0.1192
E_Full_Candidate_Representation,RAW,False,CATBOOST,29,0.3753,0.4128,0.1565,0.1183
E_Full_Candidate_Representation,RAW,False,XGBOOST,29,0.3778,0.4137,0.1578,0.1197
E_Full_Candidate_Representation,RAW,False,LIGHTGBM,29,0.3772,0.4132,0.1575,0.1196
E_Full_Candidate_Representation,RAW,True,CATBOOST,30,0.3791,0.4151,0.1561,0.1184
E_Full_Candidate_Representation,RAW,True,XGBOOST,30,0.3745,0.4103,0.1585,0.1197
E_Full_Candidate_Representation,RAW,True,LIGHTGBM,30,0.3757,0.4116,0.1584,0.1195
